,birth,death,race_eth,education,institution
Donna Leon,1942, N/A, American, Bachelor's Degree, Florida State University
Charlotte Rogan,1961, N/A, American, Bachelor's Degree, Harvard University
J.R. Ward,1972, N/A, Caucasian, None, None
Ron Rash,1953, N/A, American, Bachelor's Degree, Gardner-Webb University
Ace Atkins,1970, N/A, American, Bachelor's Degree, Auburn University
W. Bruce Cameron,N/A, N/A, Caucasian, Bachelor's Degree, University of Michigan
Ed Falco,1948, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Richard Ford,1944, N/A, American, Bachelor's Degree, Michigan State University
Gillian Flynn,1971, N/A, Caucasian, Bachelor's Degree, University of Kansas
John Scalzi,1966, N/A, White, Bachelor's Degree, University of Chicago
Karen Thompson Walker,1980, N/A, American, Bachelor's Degree, Stanford University
Jess Walter,1965, N/A, American, Bachelor's Degree, University of Washington
Maggie Shipstead,1983, N/A, American, Bachelor's Degree, Harvard University
Chris Cleave,1973, N/A, British, None, None
Carlos Ruiz Zafon,1964, 2020, Spanish, None, None
M. L. Stedman,1974, N/A, White, Bachelor's Degree, University of Western Australia
Peter Heller,1959, N/A, White, Bachelor's Degree, University of Colorado Boulder
Maria Semple,1964, N/A, Caucasian, Bachelor's Degree, Barnard College
William Kent Krueger,1950, N/A, American, Bachelor's Degree, University of Minnesota
Brent Weeks,1977, N/A, White, Bachelor's Degree, Brigham Young University
Jo Nesbø,1960, N/A, Norwegian, None, None
David Wong,1977, N/A, Asian American, Bachelor's Degree, University of California
Kate Morton,1976, N/A, Australian, Bachelor's Degree, University of Queensland
Robert Kirkman,1978, N/A, American, Bachelor's Degree, Georgia State University
Patrick Taylor,1941, N/A, Irish, Bachelor's Degree, University College Dublin
Karen Kingsbury,1963, N/A, Caucasian, Bachelor's Degree, University of California
Kevin Powers,1980, N/A, American, Master's Degree, Virginia Commonwealth University
Lois McMaster Bujold,1949, N/A, American, None, None
Wm. Paul Young,1955, N/A, Caucasian, None, None
Ayana Mathis,1978, N/A, African American, Master's Degree, University of Iowa
George Saunders,1958, N/A, American, Master's Degree, Syracuse University
Ian Rankin,1960, N/A, Scottish, None, None
Charles Todd,1850, 1929, British, None, None
Melanie Benjamin,1962, N/A, Caucasian, Bachelor's Degree, University of Iowa
Herman Koch,1953, N/A, Dutch, N/A, N/A
Edward Kelsey Moore,1961, N/A, African American, Bachelor's Degree, DePauw University
Therese Anne Fowler,1970, N/A, American, None, None
Kate Atkinson,1951, N/A, British, Bachelor's Degree, University of Dundee
James Salter,1925, 2015, American, Bachelor's Degree, Harvard University
Kimberly McCreight,1977, N/A, American, J.D., University of Pennsylvania
Philip Kerr,1956, 2018, Scottish, None, None
Susan Wiggs,1966, N/A, White, Bachelor's Degree, University of California
Lauren Graham,1967, N/A, White, Bachelor's Degree, Barnard College
Philipp Meyer,1974, N/A, American, Bachelor's Degree, University of Pennsylvania
Colum McCann,1965, N/A, Irish, Bachelor's Degree, University College Dublin
Craig Johnson,1961, N/A, Caucasian, Bachelor's Degree, University of Wyoming
Ian Doescher,1974, N/A, None, Bachelor's Degree, University of Oregon
Robert Galbraith,1965, N/A, British, N/A, N/A
David Rakoff,1964, 2012, Jewish, Bachelor's Degree, Wesleyan University
Liane Moriarty,1966, N/A, Australian, Bachelor's Degree, University of New South Wales
Marisha Pessl,N/A, N/A, American, Bachelor's Degree, Wake Forest University
Samantha Shannon,1991, N/A, British, Bachelor's Degree, University of Bristol
John Jackson Miller,1978, N/A, Caucasian, Bachelor's Degree, University of Wisconsin-Madison
Jason Mott,1978, N/A, African American, Bachelor's Degree, University of North Carolina at Pembroke
Elizabeth Gilbert,1969, N/A, Caucasian, Bachelor's Degree, New York University
Anne Hillerman,1968, N/A, Native American, Bachelor's Degree, University of New Mexico
Mary Oliver,1935, 2019, American, Bachelor's Degree, Radcliffe College
Eleanor Catton,1985, N/A, New Zealander, Bachelor's Degree, Victoria University of Wellington
Billy Collins,1941, N/A, American, Bachelor's Degree, Hartwick College
Doug Dorst,1982, N/A, American, Bachelor's Degree, UC Santa Barbara
B. J. Novak,1979, N/A, White, Bachelor's Degree, Harvard University
Andy Weir,1972, N/A, American, Bachelor’s Degree, University of California
Phil Klay,1984, N/A, White, Master's Degree, Hunter College
Olen Steinhauer,1970, N/A, American, Bachelor's Degree, University of California
Jean Hanff Korelitz,1961, N/A, Jewish, Bachelor's Degree, Dartmouth College
Ann B. Ross,1937, N/A, Caucasian, None, None
Gabrielle Zevin,1980, N/A, White, Bachelor's Degree, Barnard College
Francine Prose,1947, N/A, American, Bachelor's Degree, Radcliffe College
Anthony Doerr,1973, N/A, American, Master's Degree, Bowling Green State University
Ruth Reichl,1948, N/A, Caucasian, Bachelor's Degree, University of Michigan
Emma Straub,1984, N/A, American, Bachelor's Degree, Vassar College
Jojo Moyes,1969, N/A, British, Bachelor's Degree, University of East Anglia
Edan Lepucki,1981, N/A, White, Master's Degree, Cornell University
Rainbow Rowell,1973, N/A, American, Bachelor's Degree, University of Nebraska-Lincoln
Mark Greaney,1972, N/A, Caucasian, Bachelor's Degree, University of Memphis
Ilona Andrews,1976, N/A, American, N/A, N/A
Robin Hobb,1952, N/A, American, None, None
Matthew Thomas,1976, N/A, American, Bachelor's Degree, Penn State University
Reed Farrel Coleman,1956, N/A, American, Bachelor's Degree, Hofstra University
Sophie Hannah,1971, N/A, British, None, None
John Darnielle,1967, N/A, Caucasian, None, None
Sarah Waters,1966, N/A, Welsh, Master's Degree, University College London
Emily St. John Mandel,1979, N/A, Canadian, Bachelor's Degree, Université de Victoria
Colm Toibin,1955, N/A, Irish, Master's Degree, University College Dublin
Richard Flanagan,1961, N/A, Australian, None, None
Anita Diamant,1951, N/A, Jewish, Bachelor's Degree, Washington University in St. Louis
Brad Taylor,1962, N/A, Caucasian, Bachelor's Degree, University of North Florida
Graeme Simsion,1964, N/A, Australian, Bachelor's Degree, University of Melbourne
Pierce Brown,1988, N/A, Caucasian, Bachelor's Degree, University of Southern California
Paula Hawkins,1972, N/A, British, Bachelor's Degree, University of Kent
Miranda July,1974, N/A, White, Bachelor's Degree, University of California
Tim Johnston,1973, N/A, American, Master's Degree, University of Oregon
David Duchovny,1960, N/A, Caucasian, Master's Degree, Yale University
Richard Price writing as Harry Brandt,1949, N/A, American, Bachelor's Degree, Newark State College
Allison Pataki,1984, N/A, Caucasian, Bachelor's Degree, Dartmouth College
Kazuo Ishiguro,1954, N/A, Japanese-British, Master's Degree, University of East Anglia
Ian Caldwell,1974, N/A, Caucasian, Bachelor's Degree, Harvard University
Jill Alexander Essbaum,1971, N/A, White, MFA, University of Texas at Austin
Peter V. Brett,1973, N/A, Caucasian, Bachelor's Degree, Plattsburgh State University of New York
Lisa Genova,1970, N/A, Italian-American, Master's Degree, Bates College
A.N. Roquelaure,1975, N/A, Caucasian, Master's Degree, University of California
Karl Ove Knausgaard,1968, N/A, Norwegian, None, None
Jessica Knoll,1983, N/A, American, Bachelor's Degree, Syracuse University
Paolo Bacigalupi,1972, N/A, American, Bachelor's Degree, Pomona College
Jason Matthews,1951, 2021, Caucasian, Bachelor's Degree, University of Notre Dame
Grant Blackwood,1971, N/A, Caucasian, Bachelor's Degree, University of South Carolina
Nina George,1973, N/A, German, None, None
Ernest Cline,1972, N/A, White, Bachelor's Degree, Wright State University
Don Winslow,1953, N/A, Caucasian, None, None
Paula Mclain,1977, N/A, American, Bachelor's Degree, Univ of Virginia
Ruth Ware,1977, N/A, British, N/A, N/A
Ivan Doig,1939, 2015, American, Bachelor's Degree, University of Washington
David Lagercrantz,1962, N/A, Swedish, None, None
Chuck Wendig,1975, N/A, White, Bachelor's Degree, George Mason University
Garth Risk Hallberg,1982, N/A, American, Bachelor's Degree, New York University
Ethan Hawke,1970, N/A, Caucasian, Bachelor's Degree, Carnegie Mellon University
Fiona Barton,1965, N/A, British, Bachelor's Degree, University of Kent
Cynthia D'Aprix Sweeney,1971, N/A, Caucasian, Bachelor's Degree, University of California
Jim Harrison,1937, 2016, American, Bachelor's Degree, Michigan State University
Edna O'Brien,1932, N/A, Irish, Bachelor's Degree, University College Dublin
Martha Hall Kelly,1964, N/A, None, Bachelor's Degree, University of Massachusetts Amherst
Dominic Smith,1970, N/A, Australian, Bachelor's Degree, University of Sydney
L. S. Hilton,1970, N/A, British, None, None
Claudia Gray,1970, N/A, Caucasian, Bachelor's Degree, University of New Orleans
Steve Hamilton,1961, N/A, American, Bachelor's Degree, University of Michigan
Stephanie Danler,1985, N/A, Caucasian, Bachelor's Degree, Wesleyan University
Noah Hawley,1975, N/A, Caucasian, Bachelor's Degree, University of Notre Dame
Yaa Gyasi,1989, N/A, Ghanaian, Master’s Degree, University of Iowa
Emma Cline,1989, N/A, Caucasian, Bachelor's Degree, Oberlin College
Annie Proulx,1935, N/A, American, Bachelor's Degree, University of Vermont
Julian Fellowes,1949, N/A, English, Bachelor's Degree, Cambridge University
Delia Ephron,1944, N/A, American, Bachelor's Degree, Barnard College
Blake Crouch,1978, N/A, Caucasian, Bachelor's Degree, University of North Carolina at Chapel Hill
B. A. Paris,1970, N/A, None, Bachelor's Degree, None
Jacqueline Woodson,1963, N/A, African American, Bachelor's Degree, East Virginia University
Graham Moore,1981, N/A, White, Bachelor's Degree, Columbia University
Nathan Hill,1980, N/A, American, Master's Degree, University of Houston
Shari Lapena,1960, N/A, Canadian, None, None
Kyle Mills,1966, N/A, Caucasian, Bachelor's Degree, University of Utah
Mark Frost,1953, N/A, White, Bachelor's Degree, University of Southern California
Brit Bennett,1990, N/A, African American, Master's Degree, University of Michigan
Stephanie Meyer,1973, N/A, Caucasian, Bachelor's Degree, Brigham Young University
Alexander Freed,1981, N/A, None, Bachelor's Degree, Brigham Young University
Karen White,1965, N/A, African American, Bachelor's Degree, Georgia State University
J. P. Delaney,None, N/A, None, None, None
Paul Auster,1947, N/A, American, Bachelor's Degree, Columbia University
Sarah Pinborough,1972, N/A, British, None, None
V. E. Schwab,1987, N/A, White, None, None
Christina Baker Kline,1964, N/A, American, Bachelor's Degree, Barnard College
J P Delaney,None, N/A, None, None, None
Jessica Shattuck,1974, N/A, American, Master's Degree, Harvard University
Fredrik Backman,1981, N/A, Swedish, Bachelor's Degree, N/A
Kevin Kwan,1980, N/A, Chinese-Singaporean, Bachelor's Degree, Wesleyan University
Anthony Horowitz,1955, N/A, British, None, None
Mike Maden,1970, N/A, None, Bachelor's Degree, University of California
Mary Alice Monroe,1951, N/A, Caucasian, Bachelor's Degree, University of South Carolina
Susan Mallery,1966, N/A, Caucasian, Bachelor's Degree, University of California
Linda Castillo,1977, N/A, Caucasian, Bachelor's Degree, Kent State University
Lisa Wingate,1965, N/A, Caucasian, Bachelor's Degree, University of North Texas
Janelle Brown,None, N/A, American, None, None
Edgar Cantero,1981, N/A, None, None, None
C.J. Box,1960, N/A, American, Bachelor's Degree, University of Denver
C J. Box,1963, N/A, American, Bachelor's Degree, University of Wyoming
Susan Elia MacNeal,1970, N/A, American, Bachelor's Degree, University of California
Gabriel Tallent,1992, N/A, American, Bachelor's Degree, University of California
Delilah S. Dawson,1982, N/A, American, Bachelor's Degree, University of Florida
J.D. Robb,N/A, N/A, American, None, None
Celeste Ng,1980, N/A, Asian American, Master's Degree, Harvard University
Jesmyn Ward,1977, N/A, African American, Master's Degree, University of New Orleans
Jennifer Egan,1962, N/A, American, Master's Degree, University of Pennsylvania
various authors,None, None, None, None, None
Tom Hanks,1956, N/A, Caucasian, Bachelor's Degree, California State University
Marc Cameron,None, N/A, None, None, None
A.J. Finn,1982, N/A, White, Bachelor's Degree, University of Connecticut
Naomi Alderman,1974, N/A, British, PhD, University College London
Chloe Benjamin,1990, N/A, Caucasian, Bachelor's Degree, New York University
Karen Cleveland,None, N/A, White, Bachelor's Degree, Harvard University
Tayari Jones,1970, N/A, African American, Master's Degree, University of Iowa
Jason Fry,1973, N/A, None, None, None
Madeline Miller,1978, N/A, American, Master's Degree, Brown University
Richard Powers,1957, N/A, White, Master's Degree, University of Massachusetts Amherst
Lisa Jewell,1968, N/A, British, None, None
Daniel José Older,1974, N/A, Puerto Rican, Bachelor's Degree, New York University
Jake Tapper,1969, N/A, Caucasian, Bachelor's Degree, Dartmouth College
Rachel Kushner,1973, N/A, American, Master's Degree, New York University
Aimee Molloy,1979, N/A, None, Bachelor's Degree, None
Katherine Center,1975, N/A, Caucasian, Bachelor's Degree, University of Texas at Austin
Catherine Steadman,1982, N/A, British, Bachelor's Degree, Duke University
Tommy Orange,1982, N/A, Native American, Bachelor's Degree, Oakland University
Fatima Farheen Mirza,1995, N/A, Indian-American, Bachelor's Degree, University of California
B.A. Paris,1921, N/A, None, Bachelor's Degree, University of Oregon
Riley Sager,1975, N/A, Caucasian, Bachelor's Degree, University of Pennsylvania
Beatriz Williams,1975, N/A, Caucasian, Bachelor's Degree, Georgetown University
Naomi Novik,1973, N/A, American, Bachelor's Degree, Brown University
Ottessa Moshfegh,1981, N/A, Iranian-American, Master's Degree, Broward College
Rosie Walsh,1978, N/A, British, None, None
Nico Walker,1991, N/A, White, Bachelor's Degree, Ohio University
Delia Owens,1949, N/A, Caucasian, Bachelor's Degree, University of Georgia
Hank Green,1980, N/A, White, Bachelor's Degree, Eckerd College
V.E. Schwab,1987, N/A, White, Bachelor's Degree, Victoria University of Manchester
Leonard Cohen,1934, 2016, Jewish-Canadian, Bachelor's Degree, McGill University
Joseph Fink,1982, N/A, None, Bachelor's Degree, Bryn Mawr College
George R.R. Martin,1948, N/A, American, None, None
Katherine Arden,1987, N/A, American, Bachelor's Degree, Middlebury College
Marie Benedict,1972, N/A, Caucasian, Bachelor's Degree, Boston University
Gregg Hurwitz,1973, N/A, Caucasian, Bachelor's Degree, Harvard University
Alex Michaelides,1983, N/A, Greek-Cypriot, None, None
Marlon James,1970, N/A, Jamaican, Bachelor's Degree, University of the West Indies
Gwenda Bond,1980, N/A, White, Bachelor's Degree, University of Iowa
Tara Conklin,1980, N/A, American, Bachelor's Degree, College of William & Mary
Jane Harper,1980, N/A, Australian, Bachelor's Degree, Macquarie University
John Kenney,None, N/A, American, None, None
Yangsze Choo,1977, N/A, Malaysian Chinese, Bachelor's Degree, Barnard College
Taylor Jenkins Reid,1983, N/A, American, Bachelor's Degree, University of California
James S.A. Corey,1976, N/A, Caucasian, Bachelor's Degree, Colorado College
Nell Freudenberger,1975, N/A, American, Master's Degree, University of Iowa
Sally Rooney,1991, N/A, Irish, Bachelor's Degree, Trinity College Dublin
Greg Weisman,1963, N/A, Caucasian, Bachelor's Degree, Stanford University
Etaf Rum,1984, N/A, Palestinian-American, N/A, N/A
Ted Chiang,1967, N/A, Chinese-American, Bachelor's Degree, Brown University
Mary Beth Keane,1977, N/A, Irish-American, Bachelor's Degree, Barnard College
Ocean Vuong,1988, N/A, Vietnamese-American, MFA, New York University
Jean Kwok,1975, N/A, Chinese-American, Bachelor's Degree, Barnard College
Kristen Arnett,1983, N/A, American, Bachelor's Degree, University of Florida
Taffy Brodesser-Akner,1981, N/A, White, Bachelor's Degree, Barnard College
Megan Miranda,1986, N/A, American, Bachelor's Degree, University of Vermont
Claire Lombardo,1982, N/A, White, Bachelor's Degree, University of Iowa
Linda Holmes,1972, N/A, Caucasian, Bachelor's Degree, University of Washington
Chandler Baker,1989, N/A, White, Bachelor's Degree, University of Florida
Cristina Alger,1980, N/A, None, None, None
Nancy Thayer,1943, N/A, White, Bachelor's Degree, University of Massachusetts Amherst
Adrian McKinty,1968, N/A, Irish, Bachelor's Degree, University of Ulster
Téa Obreht,1985, N/A, Serbian-American, Master's Degree, University of Southern California
Alex North,1910, 1991, American, N/A, N/A
Jonathan Cahn,1967, N/A, Jewish, Bachelor's Degree, Messiah College
Lara Prescott,1986, N/A, American, Bachelor's Degree, University of Michigan
Joe Abercrombie,1974, N/A, British, None, None
Ta-Nehisi Coates,1975, N/A, African American, Bachelor's Degree, Howard University
Heather Morris,1970, N/A, White, Bachelor's Degree, University of Auckland
Stephen Chbosky,1972, N/A, White, Bachelor's Degree, University of California
Leigh Bardugo,1987, N/A, Jewish, Bachelor's Degree, Northwestern University
Kevin Wilson,1978, N/A, American, Master's Degree, University of the South
Kiley Reid,1993, N/A, African American, Bachelor's Degree, University of Arizona
Ann Napolitano,1970, N/A, White, Bachelor's Degree, Barnard College
Liz Moore,1981, N/A, American, Master's Degree, Hunter College
Jeanine Cummins,1974, N/A, Hispanic, Bachelor's Degree, Bucknell University
Abi Daré,1982, N/A, Nigerian, Bachelor's Degree, University of Lagos
Jenny Offill,1973, N/A, Caucasian, Master's Degree, Columbia University
Simone St. James,N/A, N/A, None, None, None
Mary Kubica,1977, N/A, White, Bachelor's Degree, University of Iowa
Sarah J. Maas,1986, N/A, White, Bachelor's Degree, Mount Vernon Nazarene University
Lily King,1963, N/A, Caucasian, Master's Degree, University of New Hampshire
Amanda Eyre Ward,1975, N/A, American, Bachelor's Degree, University of California
James McBride,1957, N/A, African American, Bachelor's Degree, State University of New York at Oswego
Kate Elizabeth Russell,1986, N/A, American, Master's Degree, University of New Hampshire
Rebecca Serle,1987, N/A, White, Bachelor's Degree, New York University
Rae Carson,1984, N/A, White, Bachelor's Degree, University of Arizona
N.K. Jemisin,1972, N/A, African American, Ph.D., University of Pennsylvania
Elizabeth Wetmore,1975, N/A, None, Bachelor's Degree, University of Texas at Austin
Veronica Roth,1988, N/A, American, Bachelor's Degree, Northwestern University
Grady Hendrix,1975, N/A, American, Bachelor’s Degree, University of South Carolina
Jack Carr,1980, N/A, Caucasian, Bachelor's Degree, United States Naval Academy
Lawrence Wright,1960, N/A, American, Bachelor's Degree, Tulane University
Alka Joshi,1970, N/A, Indian, Master's Degree, University of California
Lucy Foley,1986, N/A, British, N/A, N/A
Megha Majumdar,1987, N/A, Indian, Master's Degree, Harvard University
Connie Schultz,1957, N/A, Caucasian, Bachelor's Degree, Kent State University
Julie Clark,1970, N/A, Caucasian, Bachelor's Degree, University of California
Silvia Moreno-Garcia,1981, N/A, Mexican-Canadian, Bachelor's Degree, University of Victoria
Lindsay Ellis,1990, N/A, Caucasian, Bachelor's Degree, New York University
Tamsyn Muir,1990, N/A, New Zealand European, Bachelor's Degree, Victoria University of Wellington
Raven Leilani,1992, N/A, African American, Bachelor's Degree, Barnard College
Akwaeke Emezi,1987, N/A, Nigerian, Bachelor's Degree, University of Nigeria
Fiona Davis,1976, N/A, Caucasian, Bachelor's Degree, Barnard College
Elena Ferrante,1943, N/A, Italian, None, None
Nancy Jooyoun Kim,1981, N/A, Korean American, Bachelor's Degree, University of California
Ann Cleeves,1954, N/A, British, None, None
Christopher Paolini,1983, N/A, American, None, None
Asha Lemmie,1992, N/A, African American, Bachelor's Degree, Harvard University
Lana Del Rey,1985, N/A, White, None, None
Matt Haig,1975, N/A, White, Bachelor's Degree, University of Kent
Rumaan Alam,1977, N/A, Pakistani-American, Bachelor’s Degree, University of Michigan
Susie Yang,1983, N/A, Asian American, MFA, University of California
Halsey,1994, N/A, White, Bachelor's Degree, Rhode Island School of Design
